material_id,material_name,material_type,strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,strength_mpa_normalized,weight_capacity_kg_normalized,biodegradability_score_normalized,co2_emission_score_normalized,recyclability_percent_normalized,cost_per_kg_normalized,material_type_encoded,co2_impact_index,cost_efficiency_index,material_suitability_score
1,Recycled Corrugated Cardboard,Paper,35.47,4.82,90,1.18,82,62.15,-0.6484453178638379,0.5249671973526786,1.220006547574399,-0.9148195217184337,1.4627462998564615,-1.2458762249862063,6,71.77,59.29,74.05
2,Kraft Paper,Paper,28.64,3.25,87,0.98,78,58.42,-1.376353003257634,-0.530344582216726,1.0004492804644294,-1.2584782451288146,0.9991183125802457,-1.4107840258527236,6,76.56,61.73,68.95
3,Molded Pulp Tray,Bio,32.18,4.15,88,0.92,89,71.34,-0.9990772775923283,0.07461121498866534,1.0736350361677527,-1.3615758621519287,2.2740952775898395,-0.839575235719907,0,77.99,53.27,74.94
4,PLA Bioplastic,Bioplastic,44.73,2.68,76,2.08,58,118.45,0.33843977243580414,-0.9134832537801402,0.19540596772787328,0.6316447336282809,-1.3190216238008337,1.2432147103448752,1,50.24,22.41,61.97
5,Glass Bottle,Glass,72.95,1.45,52,3.48,94,152.67,3.3459880713835264,-1.740256176627508,-1.5610521691518853,3.0372557975009475,2.853630261685109,2.7561222024768393,4,16.75,0.0,76.27
6,HDPE Recycled Plastic,Plastic,58.32,9.87,42,2.75,71,96.82,1.7867948887610894,3.9194413927829275,-2.292909726185118,1.7829014570530568,0.18776933484686795,0.28692631014574005,7,34.21,36.58,58.14
7,Bamboo Fiber Box,Bio,41.56,4.38,91,0.82,76,108.23,0.0005968203569855457,0.22921102983004274,1.2931923032777224,-1.5334052238571194,0.7673043189421378,0.7913761782119508,0,80.38,29.11,74.1
8,Aluminum Can,Metal,79.28,2.14,36,4.18,97,138.45,4.020608224903692,-1.2764567321033748,-2.732024260405058,4.24006132943728,3.201351252142271,2.127438843677408,5,0.0,9.31,73.2
9,Sugarcane Bagasse Box,Bio,33.72,3.62,89,1.08,87,91.56,-0.8349516794215456,-0.2816405322545096,1.1468207918710758,-1.0866488834236239,2.0422812839517315,0.054375363079284166,0,74.16,40.03,75.06
10,Cornstarch Biopolymer Film,Bioplastic,21.45,1.22,77,1.88,54,128.34,-2.1426277116004453,-1.8948559914688858,0.2685917234311965,0.28798601021789955,-1.7826496110770496,1.680463544277813,1,55.02,15.94,52.93
11,Mushroom-Based Packaging,Bio,48.23,5.45,79,1.45,62,89.67,0.7114524955512197,0.9484362553964523,0.4149632348378431,-0.4508802451144194,-0.8553936365246178,-0.02918381752064026,0,65.31,41.27,65.95
12,Seaweed Fiber Wrap,Bio,42.87,3.92,82,1.12,68,85.34,0.1402101538658977,-0.07998859985271266,0.634520501947813,-1.0179171387415478,-0.15995165561029395,-0.22061834238713365,0,73.21,44.1,67.74
13,Cellulose Film Standard,Paper,30.56,2.78,86,1.02,80,52.45,-1.1717288808628923,-0.8462659429795414,0.9272635247611061,-1.1897465004467382,1.2309323062183537,-1.6747249296524849,6,75.6,65.64,70.0
14,Paper Mache Molded,Paper,26.73,3.15,89,0.95,75,48.92,-1.5799113750149039,-0.597561893017325,1.1468207918710758,-1.3100270536403718,0.6513973221230838,-1.830790489185677,6,77.27,67.96,67.91
15,Recycled Plastic Blend PET,Plastic,52.45,8.32,44,2.42,73,92.67,1.1611992645646643,2.8775730753736437,-2.1465382147784715,1.2158645634259282,0.41958332848497587,0.10344980247923974,7,42.11,39.3,57.77
16,Starch-based Foam Peanuts,Bio,19.87,1.98,72,1.75,55,76.54,-2.3110163123211183,-1.3840044293843332,-0.09733705508541983,0.06460784000115213,-1.6667426142579955,-0.6096769610534483,0,58.13,49.87,50.8
17,Cork Composite Sheet,Composite,45.32,4.68,65,1.92,58,104.23,0.4013190600466889,0.4308629622318396,-0.6096373450086827,0.3567177548999758,-1.3190216238008337,0.6145313515454441,2,54.07,31.73,57.77
18,Natural Rubber Padding,Composite,38.92,5.23,68,2.15,62,115.67,-0.28076134793578505,0.8005581716351347,-0.39008007789871296,0.7519252868219138,-0.8553936365246178,1.120307555811653,2,48.56,24.24,58.41
19,Recycled Leather Panel,Composite,52.34,3.87,48,2.58,69,128.45,1.1494760075524655,-0.11359725525301205,-1.8537951919651785,1.4907915421542333,-0.04404465879123998,1.6853267770111413,2,38.28,15.86,57.73
20,Biodegradable Plastic PBAT,Bioplastic,42.67,2.45,75,2.22,61,122.34,0.11889514111644583,-1.068083068621518,0.12222021202455,0.8722058400155477,-0.9713006333436717,1.415196304278053,1,46.89,19.87,62.08
21,Jute Fiber Bag Natural,Fiber,35.28,4.92,81,1.28,70,72.45,-0.6686945799758173,0.5921845081532774,0.5613347462444896,-0.742990160013243,0.07186233802781399,-0.7905007963199514,3,69.38,52.54,65.59
